Country,Region,ISO_alpha3
Ukraine,Europe,UKR
UnitedArabEmirates,Asia,ARE
UnitedKingdom,Europe,GBR
UnitedStates,NorthAmerica,USA
Uruguay,SouthAmerica,URY
Uzbekistan,Asia,UZB
Vanuatu,Oceania,VUT
VaticanCity,Europe,VAT
Venezuela,SouthAmerica,VEN
Vietnam,Asia,VNM
Yemen,Asia,YEM
Zambia,Africa,ZMB
Zimbabwe,Africa,ZWE
